keyword,meaning_zh,topic,source_type,source_name,source_url,published_date,weight,example
energy security,能源安全,energy geopolitics,magazine,TIME,https://time.com/article/2026/04/03/energy-geopolitics-united-states-iran-china/,2026-04-04,high,Energy security has returned to the center of global politics.
geopolitical weapon,地緣政治武器,energy geopolitics,magazine,TIME,https://time.com/article/2026/04/03/energy-geopolitics-united-states-iran-china/,2026-04-04,high,Energy can become a geopolitical weapon during conflict.
economic fault line,經濟斷層;經濟風險分界,energy geopolitics,magazine,TIME,https://time.com/article/2026/04/03/energy-geopolitics-united-states-iran-china/,2026-04-04,medium,Energy prices have become an economic fault line.
global recession,全球衰退,global economy,magazine,TIME,https://time.com/article/2026/04/15/imf-global-recession-war-us-israel-iran-energy-hormuz/,2026-04-15,high,A broader conflict could raise the risk of a global recession.
supply disruption,供應中斷,global economy,magazine,TIME,https://time.com/article/2026/04/15/imf-global-recession-war-us-israel-iran-energy-hormuz/,2026-04-15,high,Supply disruption can affect prices around the world.
geopolitical fragmentation,地緣政治碎片化,global economy,magazine,TIME,https://time.com/article/2026/04/15/imf-global-recession-war-us-israel-iran-energy-hormuz/,2026-04-15,medium,Geopolitical fragmentation may weaken global growth.
financial market,金融市場,global economy,magazine,TIME,https://time.com/article/2026/04/15/imf-global-recession-war-us-israel-iran-energy-hormuz/,2026-04-15,medium,Financial markets can react quickly to political risk.
energy transition,能源轉型,energy policy,magazine,TIME,https://time.com/article/2026/04/24/geopolitics-energy-time100-summit/,2026-04-24,high,Energy transition is shaped by security and climate concerns.
international norms,國際規範,geopolitics,magazine,TIME,https://time.com/article/2026/04/24/geopolitics-energy-time100-summit/,2026-04-24,medium,International norms can weaken during geopolitical chaos.
systemic resilience,系統韌性,climate and economy,magazine,Economist Impact,https://events.economist.com/resilient-futures-summit/,2026-04-29,high,Systemic resilience helps societies handle shocks.
resource pressure,資源壓力,climate and economy,magazine,Economist Impact,https://events.economist.com/resilient-futures-summit/,2026-04-29,medium,Resource pressure can affect food, water, and energy systems.
rapid urbanisation,快速都市化,climate and cities,magazine,Economist Impact,https://events.economist.com/resilient-futures-summit/,2026-04-29,medium,Rapid urbanisation creates challenges for cities.
renewable energy,再生能源,energy policy,magazine,Economist Impact,https://events.economist.com/resilient-futures-summit/,2026-04-29,medium,Renewable energy is part of sustainable growth.
data center,資料中心,AI and climate,newspaper,The Guardian,https://www.theguardian.com/environment/environment%2Btechnology/computing,2026-05-02,high,AI data centers may increase electricity demand.
carbon emissions,碳排放,AI and climate,newspaper,The Guardian,https://www.theguardian.com/technology/2026/may/09/google-developers-significantly-misstate-carbon-emissions-of-proposed-uk-datacentres,2026-05-09,high,Carbon emissions remain a major climate concern.
climate pollution,氣候污染,AI and climate,newspaper,The Guardian,https://www.theguardian.com/technology/2026/may/09/google-developers-significantly-misstate-carbon-emissions-of-proposed-uk-datacentres,2026-05-09,medium,Climate pollution may be underestimated in planning documents.
emissions forecast,排放預測,AI and climate,newspaper,The Guardian,https://www.theguardian.com/environment/environment%2Btechnology/computing,2026-04-26,medium,Emissions forecasts affect climate planning.
fossil fuels,化石燃料,climate policy,newspaper,The Guardian,https://www.theguardian.com/technology/2026/apr/02/google-ai-datacenter,2026-04-02,high,AI growth can increase demand for fossil fuels.
gas turbine,燃氣渦輪機,AI and energy,newspaper,The Guardian,https://www.theguardian.com/environment/2026/feb/13/elon-musk-xai-datacenters-air-pollution-mississippi,2026-02-13,medium,Gas turbines can power large data centers.
extreme weather,極端天氣,climate crisis,newspaper,The Guardian,https://www.theguardian.com/environment/climate-crisis/2026/apr/24/all,2026-04-24,medium,Extreme weather can displace millions of people.
